N,D,E,Noise,mse
80,210,0.9,0.1,1.7905118556710988
80,210,0.9,0.2,0.4550373058229695
80,211,0.5,0.0,2.0726112579026914
80,211,0.5,0.1,2.5305365586542337
80,211,0.5,0.2,0.2972906980585783
80,211,0.6,0.0,2.0726112579026914
80,211,0.6,0.1,2.5696768034279778
80,211,0.6,0.2,0.4244793775928759
80,211,0.7,0.0,2.0726112579026914
80,211,0.7,0.1,2.0437716269942
80,211,0.7,0.2,0.5154709502099006
80,211,0.8,0.0,2.0726112579026914
80,211,0.8,0.1,2.163455952433853
80,211,0.8,0.2,0.578107678632275
80,211,0.9,0.0,2.0978712463390874
80,211,0.9,0.1,2.4463778681883728
80,211,0.9,0.2,0.4378585236865184
81,210,0.5,0.0,2.0505363013796334
81,210,0.5,0.1,2.501115320331559
81,210,0.5,0.2,0.5043733743031744
81,210,0.6,0.0,2.0505363013796334
81,210,0.6,0.1,2.2246894447194574
81,210,0.6,0.2,0.3571574456736055
81,210,0.7,0.0,2.1153689376779585
81,210,0.7,0.1,2.3265718625207814
81,210,0.7,0.2,0.377870486448117
81,210,0.8,0.0,2.0275785850859998
81,210,0.8,0.1,2.3255609640269235
81,210,0.8,0.2,0.5359830272868233
81,210,0.9,0.0,2.0383023783355743
81,210,0.9,0.1,2.4658911599216324
81,210,0.9,0.2,0.6876105188195805
81,211,0.5,0.0,2.08520048404364
81,211,0.5,0.1,2.4618623439584475
81,211,0.5,0.2,0.6887280760201726
81,211,0.6,0.0,2.141256772682277
81,211,0.6,0.1,2.4247879952181783
81,211,0.6,0.2,0.4442915247528507
81,211,0.7,0.0,2.179198287478576
81,211,0.7,0.1,2.267848071140806
81,211,0.7,0.2,0.2366743594737101
81,211,0.8,0.0,2.1140657599583257
81,211,0.8,0.1,2.2299467719989163
81,211,0.8,0.2,0.4222224437945705
81,211,0.9,0.0,2.08520048404364
81,211,0.9,0.1,2.321329040805159
81,211,0.9,0.2,0.5343904101154653
44,164,0.5,0.0,1.7150948076625774
44,164,0.5,0.1,1.8390517574402436
44,164,0.5,0.2,0.3798162981639859
44,164,0.6,0.0,1.692611629328928
44,164,0.6,0.1,1.8131640362064303
44,164,0.6,0.2,0.1355691646169052
44,164,0.7,0.0,1.8389174015527436
44,164,0.7,0.1,1.230583206169074
44,164,0.7,0.2,0.1302696096614326
44,164,0.8,0.0,1.9510069116091329
44,164,0.8,0.1,1.2891634226878177
44,164,0.8,0.2,0.1881378025791793
44,164,0.9,0.0,6.618739381319666
44,164,0.9,0.1,1.4772924161339365
44,164,0.9,0.2,0.1930324708477684
44,165,0.5,0.0,1.6811886619362078
44,165,0.5,0.1,1.6450939767604051
44,165,0.5,0.2,0.049192017727357
44,165,0.6,0.0,1.6899574841386666
44,165,0.6,0.1,1.0765072873077557
44,165,0.6,0.2,0.1395818356543881
44,165,0.7,0.0,1.8119302947282137
44,165,0.7,0.1,1.971694822179584
44,165,0.7,0.2,0.2181443092287089
44,165,0.8,0.0,1.9089619826064528
44,165,0.8,0.1,1.434846475933826
44,165,0.8,0.2,0.2358486520764096
44,165,0.9,0.0,6.41783350906295
44,165,0.9,0.1,1.599377471987104
44,165,0.9,0.2,0.0241479964212132
45,164,0.5,0.0,2.1027315630236583
45,164,0.5,0.1,1.475562078659193
